layer,head,program_idx,iou_score
12,28,55,0.695
12,29,33,0.463
12,30,55,0.707
12,31,55,0.657
13,0,33,0.56
13,1,33,0.474
13,2,33,0.601
13,3,33,0.667
13,4,33,0.489
13,5,33,0.576
13,6,33,0.538
13,7,33,0.628
13,8,33,0.479
13,9,55,0.653
13,10,55,0.677
13,11,33,0.424
13,12,55,0.813
13,13,55,0.619
13,14,33,0.567
13,15,55,0.726
13,16,33,0.533
13,17,33,0.394
13,18,33,0.478
13,19,55,0.637
13,20,17,0.469
13,21,33,0.588
13,22,33,0.554
13,23,33,0.582
13,24,55,0.842
13,25,33,0.543
13,26,55,0.669
13,27,33,0.536
13,28,55,0.628
13,29,55,0.762
13,30,55,0.712
13,31,55,0.607
14,0,55,0.727
14,1,33,0.593
14,2,33,0.431
14,3,33,0.622
14,4,55,0.632
14,5,33,0.484
14,6,55,0.697
14,7,55,0.665
14,8,33,0.587
14,9,55,0.774
14,10,55,0.748
14,11,55,0.718
14,12,33,0.641
14,13,23,0.98
14,14,55,0.783
14,15,55,0.913
14,16,55,0.594
14,17,33,0.605
14,18,33,0.574
14,19,33,0.586
14,20,33,0.469
14,21,33,0.504
14,22,55,0.679
14,23,17,0.662
14,24,55,0.646
14,25,62,0.416
14,26,33,0.732
14,27,55,0.744
14,28,33,0.534
14,29,33,0.773
14,30,44,0.589
14,31,33,0.597
15,0,33,0.516
15,1,33,0.627
15,2,33,0.683
15,3,55,0.788
15,4,33,0.53
15,5,33,0.566
15,6,33,0.536
15,7,33,0.539
15,8,23,0.968
15,9,33,0.43
15,10,55,0.94
15,11,33,0.59
15,12,33,0.625
15,13,33,0.651
15,14,33,0.592
15,15,55,0.881
15,16,2,0.999
15,17,55,0.884
15,18,55,0.942
15,19,23,0.974
15,20,2,0.997
15,21,23,0.966
15,22,55,0.826
15,23,55,0.819
15,24,55,0.687
15,25,55,0.659
15,26,55,0.749
15,27,33,0.404
15,28,33,0.598
15,29,33,0.583
15,30,33,0.683
15,31,55,0.634
16,0,33,0.675
16,1,33,0.597
16,2,33,0.453
16,3,33,0.617
16,4,55,0.573
16,5,33,0.567
16,6,33,0.563
16,7,33,0.474
16,8,55,0.572
16,9,33,0.585
16,10,55,0.763
16,11,55,0.651
16,12,33,0.467
16,13,55,0.894
16,14,33,0.584
16,15,55,0.632
16,16,33,0.478
16,17,55,0.72
16,18,33,0.553
16,19,55,0.632
16,20,55,0.709
16,21,55,0.657
16,22,33,0.549
16,23,33,0.672
16,24,55,0.696
16,25,55,0.859
16,26,55,0.818
16,27,55,0.787
16,28,2,0.994
16,29,33,0.539
16,30,55,0.873
16,31,55,0.763
17,0,55,0.935
17,1,55,0.936
17,2,55,0.933
17,3,55,0.943
17,4,55,0.93
17,5,55,0.742
17,6,55,0.799
17,7,55,0.829
17,8,33,0.509
17,9,33,0.564
17,10,33,0.712
17,11,33,0.504
17,12,55,0.9
17,13,33,0.528
17,14,55,0.686
17,15,55,0.903
17,16,33,0.507
17,17,55,0.829
17,18,33,0.548
17,19,55,0.815
17,20,55,0.812
17,21,55,0.871
17,22,55,0.906
17,23,33,0.646
17,24,33,0.705
17,25,33,0.678
17,26,33,0.651
17,27,33,0.622
17,28,55,0.703
17,29,33,0.639
17,30,33,0.621
17,31,33,0.612
18,0,55,0.631
18,1,55,0.93
18,2,55,0.86
18,3,55,0.635
18,4,55,0.905
18,5,55,0.946
18,6,55,0.872
18,7,55,0.947
18,8,55,0.67
18,9,55,0.831
18,10,55,0.775
18,11,33,0.568
18,12,55,0.739
18,13,33,0.639
18,14,55,0.649
18,15,55,0.666
18,16,33,0.387
18,17,55,0.701
18,18,55,0.809
18,19,55,0.881
18,20,55,0.619
18,21,55,0.96
18,22,55,0.799
18,23,55,0.904
18,24,55,0.669
18,25,33,0.561
18,26,33,0.51
18,27,55,0.711
18,28,33,0.592
18,29,33,0.574
18,30,55,0.947
18,31,55,0.636
19,0,55,0.715
19,1,55,0.631
19,2,55,0.617
19,3,33,0.534
19,4,55,0.655
19,5,55,0.798
19,6,55,0.912
19,7,55,0.608
19,8,55,0.943
19,9,55,0.931
19,10,55,0.54
19,11,55,0.945
19,12,55,0.93
19,13,55,0.876
19,14,55,0.727
19,15,55,0.897
19,16,55,0.856
19,17,55,0.921
19,18,33,0.61
19,19,55,0.639
19,20,55,0.795
19,21,33,0.543
19,22,55,0.658
19,23,55,0.85
19,24,33,0.78
19,25,55,0.904
19,26,55,0.749
19,27,33,0.774
19,28,33,0.566
19,29,33,0.649
19,30,33,0.683
19,31,33,0.668
20,0,33,0.596
20,1,55,0.719
20,2,55,0.707
20,3,17,0.559
20,4,33,0.554
20,5,55,0.737
20,6,33,0.528
20,7,55,0.748
20,8,55,0.942
20,9,33,0.694
20,10,55,0.927
20,11,33,0.555
20,12,55,0.816
20,13,55,0.915
20,14,33,0.602
20,15,33,0.594
20,16,55,0.948
20,17,55,0.822
20,18,33,0.633
20,19,55,0.623
20,20,33,0.654
20,21,55,0.762
20,22,55,0.65
20,23,33,0.646
20,24,55,0.648
20,25,33,0.727
20,26,55,0.841
20,27,33,0.549
20,28,33,0.556
20,29,55,0.964
20,30,33,0.641
20,31,33,0.568
21,0,33,0.732
21,1,55,0.922
21,2,33,0.596
21,3,33,0.725
21,4,33,0.599
21,5,17,0.551
21,6,55,0.937
21,7,33,0.583
21,8,33,0.675
21,9,33,0.705
21,10,33,0.66
21,11,33,0.552
21,12,33,0.637
21,13,33,0.653
21,14,33,0.654
21,15,17,0.652
21,16,33,0.535
21,17,33,0.718
21,18,33,0.688
21,19,33,0.711
21,20,33,0.621
21,21,33,0.725
21,22,33,0.54
21,23,55,0.896
21,24,55,0.681
21,25,55,0.935
21,26,33,0.521
21,27,55,0.548
21,28,33,0.372
21,29,55,0.817
21,30,33,0.527
21,31,55,0.616
