k,head,program,strategy,increase,kl_div,spike
121,"(16, 25)",sentence_beginning_salience,smart,9.607402626521704,0.11611300408840179,False
122,"(5, 28)",sentence_beginning_salience,smart,9.769236976093058,0.12161401957273484,False
123,"(7, 17)",sentence_beginning_salience,smart,9.717177576373738,0.12000256478786468,False
124,"(19, 16)",sentence_beginning_salience,smart,9.650793591951368,0.12283604145050049,False
125,"(8, 28)",sentence_beginning_salience,smart,9.561670584517017,0.12712960094213485,False
126,"(19, 23)",sentence_beginning_salience,smart,9.614571547738205,0.13055871278047562,False
127,"(5, 11)",sentence_beginning_salience,smart,10.010912684047849,0.13251279443502426,False
128,"(4, 24)",sentence_beginning_salience,smart,10.19904906527591,0.1323639363050461,False
129,"(11, 2)",sentence_beginning_salience,smart,10.354372079322538,0.13289546817541123,False
130,"(4, 13)",sentence_beginning_salience,smart,10.514481875761845,0.13547343760728836,False
131,"(13, 24)",sentence_beginning_salience,smart,10.785488174381229,0.1439127057790756,False
132,"(7, 21)",sentence_beginning_salience,smart,11.082021091838584,0.14528426378965378,False
133,"(9, 6)",sentence_beginning_salience,smart,11.018971805841861,0.140877565741539,False
134,"(8, 20)",sentence_beginning_salience,smart,11.306781464431998,0.14164495468139648,False
135,"(20, 26)",sentence_beginning_salience,smart,11.445521603600124,0.14241375625133515,False
136,"(4, 16)",sentence_beginning_salience,smart,11.724628853396373,0.14398606568574907,False
137,"(11, 13)",sentence_beginning_salience,smart,11.788512567933696,0.1495603695511818,False
138,"(3, 22)",sentence_beginning_salience,smart,12.024108974503019,0.14266916513442993,False
139,"(5, 10)",sentence_beginning_salience,smart,11.901297201910484,0.15370518565177918,False
140,"(11, 5)",sentence_beginning_salience,smart,11.912896179891398,0.15612353682518004,False
141,"(4, 18)",sentence_beginning_salience,smart,11.993945005783663,0.16389767229557037,False
142,"(5, 18)",sentence_beginning_salience,smart,12.089804689374159,0.17466747164726257,False
143,"(11, 0)",sentence_beginning_salience,smart,12.038219098561779,0.17869904339313508,False
144,"(3, 19)",sentence_beginning_salience,smart,12.238685479484591,0.18930919617414474,False
145,"(8, 23)",sentence_beginning_salience,smart,12.369301797228317,0.1881994366645813,False
146,"(8, 16)",sentence_beginning_salience,smart,12.231573442886639,0.18859892040491105,False
147,"(18, 9)",sentence_beginning_salience,smart,12.612063562572924,0.18526995927095413,False
148,"(17, 17)",sentence_beginning_salience,smart,12.984270723561645,0.18706138879060746,False
149,"(15, 22)",sentence_beginning_salience,smart,13.001971506294785,0.1787897378206253,False
150,"(17, 7)",sentence_beginning_salience,smart,13.306472249836066,0.1860106185078621,False
151,"(10, 26)",sentence_beginning_salience,smart,13.842276242254446,0.19504682421684266,False
152,"(10, 12)",sentence_beginning_salience,smart,14.255422288740101,0.1983461007475853,False
153,"(7, 3)",sentence_beginning_salience,smart,14.275221905425065,0.19954880625009536,False
154,"(4, 19)",sentence_beginning_salience,smart,14.294718482494062,0.1990630730986595,False
155,"(5, 26)",sentence_beginning_salience,smart,14.041231705847006,0.20112865418195724,False
156,"(20, 17)",sentence_beginning_salience,smart,14.87874464107795,0.2031794846057892,False
157,"(4, 3)",sentence_beginning_salience,smart,15.305799782649945,0.20475883930921554,False
158,"(15, 23)",sentence_beginning_salience,smart,14.81544256081727,0.20369841307401657,False
159,"(6, 22)",sentence_beginning_salience,smart,15.101901395607182,0.21369517147541045,False
160,"(6, 10)",sentence_beginning_salience,smart,14.833464836042939,0.2167487546801567,False
161,"(21, 29)",sentence_beginning_salience,smart,14.41327604293348,0.21850150525569917,False
162,"(16, 26)",sentence_beginning_salience,smart,14.100804619072406,0.23081298619508744,False
163,"(8, 24)",sentence_beginning_salience,smart,13.981552781419476,0.23256672769784928,False
164,"(20, 12)",sentence_beginning_salience,smart,14.326228377120989,0.24027081727981567,False
165,"(6, 20)",initial_token_reference_attention,smart,14.875615949177865,0.2502677530050278,False
166,"(6, 16)",sentence_beginning_salience,smart,14.814089190645308,0.23293974250555038,False
167,"(6, 24)",sentence_beginning_salience,smart,15.14929429730771,0.2607573091983795,False
168,"(3, 12)",sentence_beginning_salience,smart,14.997053805402782,0.26391720175743105,False
169,"(4, 0)",sentence_beginning_salience,smart,15.01256558000254,0.26885696947574617,False
170,"(17, 19)",sentence_beginning_salience,smart,15.356658903479126,0.2668584734201431,False
171,"(13, 12)",sentence_beginning_salience,smart,16.458481406454474,0.26828269064426424,False
172,"(7, 15)",sentence_beginning_salience,smart,16.563611243676167,0.2774879425764084,False
173,"(17, 20)",sentence_beginning_salience,smart,16.75639413588342,0.28290747106075287,False
174,"(5, 23)",sentence_beginning_salience,smart,16.278318251041178,0.2839070975780487,False
175,"(18, 18)",sentence_beginning_salience,smart,16.247266890397803,0.28067139387130735,False
176,"(3, 11)",sentence_beginning_salience,smart,16.539291824762508,0.2832610189914703,False
177,"(11, 31)",sentence_beginning_salience,smart,16.625691734597826,0.2994866818189621,False
178,"(5, 19)",sentence_beginning_salience,smart,16.706125079227395,0.2946698546409607,False
179,"(10, 14)",sentence_beginning_salience,smart,17.320569656161375,0.32303112745285034,False
180,"(0, 4)",sentence_position_preference,smart,17.286543617525474,0.3099202513694763,False
181,"(8, 7)",sentence_beginning_salience,smart,17.939591743489395,0.3135535329580307,False
182,"(0, 7)",sentence_position_preference,smart,16.763691091003572,0.3127805531024933,False
183,"(0, 15)",sentence_position_preference,smart,16.611995863837176,0.3153806388378143,False
184,"(0, 5)",sentence_position_preference,smart,16.78984206215668,0.31587512195110323,False
185,"(4, 14)",sentence_beginning_salience,smart,16.82787500219676,0.34133473932743075,False
186,"(3, 3)",sentence_beginning_salience,smart,17.409107298703873,0.3530946373939514,False
187,"(6, 9)",sentence_beginning_salience,smart,17.48651656868866,0.35680648386478425,False
188,"(3, 18)",sentence_beginning_salience,smart,17.88741107939124,0.36647014915943144,False
189,"(5, 21)",sentence_beginning_salience,smart,17.412024778617162,0.3746180057525635,False
190,"(5, 31)",sentence_beginning_salience,smart,16.917651425473174,0.37634230554103854,False
191,"(6, 7)",sentence_beginning_salience,smart,17.686804269544478,0.36849765479564667,False
192,"(18, 22)",sentence_beginning_salience,smart,17.1574273971216,0.35835990607738494,False
193,"(4, 15)",sentence_beginning_salience,smart,17.034058749315864,0.371933051943779,False
194,"(17, 6)",sentence_beginning_salience,smart,17.692848480644777,0.3712692052125931,False
195,"(4, 26)",sentence_beginning_salience,smart,18.21486839385676,0.38083122074604037,False
196,"(19, 5)",sentence_beginning_salience,smart,17.692258064822205,0.3886363059282303,False
197,"(0, 2)",sentence_position_preference,smart,17.872840482538706,0.37326342463493345,False
198,"(0, 3)",sentence_position_preference,smart,17.44120960326066,0.3649503320455551,False
199,"(9, 31)",sentence_beginning_salience,smart,17.729756222795793,0.3812074691057205,False
200,"(7, 5)",initial_token_reference_attention,smart,17.633075648248354,0.37212572395801546,False
201,"(19, 20)",sentence_beginning_salience,smart,17.299943674060664,0.37773342728614806,False
202,"(7, 22)",sentence_beginning_salience,smart,17.339325203278555,0.38609771728515624,False
203,"(5, 4)",sentence_beginning_salience,smart,17.478406739671453,0.3805892288684845,False
204,"(3, 20)",sentence_beginning_salience,smart,17.185162976732464,0.3953626036643982,False
205,"(3, 9)",sentence_beginning_salience,smart,17.64192649112632,0.4008813798427582,False
206,"(3, 29)",sentence_beginning_salience,smart,18.06272362738761,0.3943664252758026,False
207,"(10, 13)",sentence_beginning_salience,smart,17.893417408557088,0.3979306310415268,False
208,"(4, 7)",sentence_beginning_salience,smart,18.611309937172518,0.4107832372188568,False
209,"(9, 25)",sentence_beginning_salience,smart,18.793216246133078,0.4322676360607147,False
210,"(15, 3)",sentence_beginning_salience,smart,18.795439427909987,0.44094487428665163,False
211,"(12, 26)",sentence_beginning_salience,smart,18.494159908110568,0.4494057476520538,False
212,"(0, 9)",sentence_position_preference,smart,18.76921165295965,0.45742149353027345,False
213,"(4, 6)",sentence_beginning_salience,smart,18.84631822779533,0.46581178307533266,False
214,"(16, 27)",sentence_beginning_salience,smart,18.413516065866155,0.4787315964698792,False
215,"(14, 14)",sentence_beginning_salience,smart,18.784900718951235,0.4972409963607788,False
216,"(19, 24)",initial_token_reference_attention,smart,19.39315531035903,0.4975148767232895,False
217,"(0, 6)",sentence_position_preference,smart,10.727546660682517,0.4951039284467697,False
218,"(0, 1)",sentence_position_preference,smart,7.861684042283788,0.5337585210800171,False
